"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"DeadDist"	"DeadDistInd"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"BSADead25"	"BSADeadInd25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"BSADead5"	"BSADeadInd5"	"PropJP1"	"NeighQMD1"	"NeighBSA1"	"BSADead1"	"BSADeadInd1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"	"BSADead15"	"BSADeadInd15"	"TreesPClus"	"BAPClus"	"NeighBSA9125"	"NeighBSA915"	"NeighBSA911"	"NeighBSA9115"	"NeighSDIAlt1"	"BSADead25NEW"	"BSADeadInd25NEW"	"BSADead5NEW"	"BSADeadInd5NEW"	"BSADead1NEW"	"BSADeadInd1NEW"	"BSADead15NEW"	"BSADeadInd15NEW"
1	13984	0	2113	766124.3808	4333846.342	1	0	7	81.87008139	0	1	11.44552314	14.14867197	8.573688	0	0	1	11.93284782	35.01929269	21.745098	0	0	0.983870968	15.09379279	77.03775	0	0	0.988372093	15.50506294	161.1532445	112.76145	0	0	528	811.784268	8.573688	21.745098	77.03775	112.76145	111.546351416498	0	0	0	0	0	0	0	0
2	13985	0	2113	766138.6395	4333862.622	1	0	6	69.7557592	0	0.956521739	15.47087024	43.54438551	30.02427	0	0	0.970588235	17.09919159	75.5080094	54.218214	0	0	0.948051948	17.34311921	121.395132	5.34492	1	0.918918919	17.0530298	228.2253556	163.363662	11.34432	1	528	811.784268	30.02427	54.218214	126.740052	174.707982	169.636218180681	0	0	0	0	0	0	0	0
3	13986	0	2113	766133.555	4333854.833	1	0	6	75.48031449	0	0.954545455	13.61316208	33.87840594	22.235958	0	0	0.966666667	14.92648653	53.47565931	36.454536	0	0	0.984375	16.57888341	95.941314	0	0	0.953271028	16.52506187	215.6674976	153.404658	7.52652	1	528	811.784268	22.235958	36.454536	95.941314	160.931178	135.045037614417	0	0	0	0	0	0	0	0
4	13987	0	2113	766142.1546	4333858.689	1	0	7	74.32429677	0	0.944444444	14.94248232	32.05986966	21.919626	0	0	0.970588235	16.49063906	71.53978065	50.427684	0	0	0.9	16.10921628	103.320576	9.375426	1	0.906542056	16.77157459	211.8437422	150.344964	13.984056	1	528	811.784268	21.919626	50.427684	112.696002	164.32902	147.093840604409	0	0	0	0	0	0	0	0
5	13988	0	2113	766141.1526	4333857.993	1	0	12	74.98985584	0	0.947368421	14.80220467	33.39981135	22.705002	0	0	0.96969697	16.58495119	70.01615217	49.505958	0	0	0.934210526	16.45996827	106.391178	7.52652	1	0.914285714	16.45017469	202.7493416	143.162046	11.34432	1	528	811.784268	22.705002	49.505958	113.917698	154.506366	150.453367060529	0	0	0	0	0	0	0	0
6	13989	0	2113	766142.0029	4333857.263	1	0	8	75.74923529	0	0.944444444	14.94248232	32.05986966	21.919626	0	0	0.970588235	16.49063906	71.53978065	50.427684	0	0	0.931506849	16.08897363	97.413894	7.52652	1	0.906542056	16.39717497	203.7493416	143.707446	13.984056	1	528	811.784268	21.919626	50.427684	104.940414	157.691502	138.729584842688	0	0	0	0	0	0	0	0
7	13990	0	2113	766147.5703	4333858.562	1	0	14	74.69038493	0	0.947368421	16.60374086	40.08889683	28.568052	0	0	0.909090909	16.52566371	86.85149382	61.068438	5.34492	1	0.884615385	16.2344431	100.620846	11.34432	1	0.830357143	16.53043615	198.248169	140.091444	29.364336	1	528	811.784268	28.568052	66.413358	111.965166	169.45578	143.422457129908	0	0	0	0	0	0	0	0
8	13991	0	2113	766140.7057	4333853.88	1	0	8	78.65042227	0	0.956521739	14.93900643	41.19723249	27.995382	0	0	0.964285714	15.53797192	52.96390673	36.86904	0	0	0.941176471	16.01873903	90.967266	5.34492	1	0.90990991	16.04772295	204.4592006	143.265672	13.984056	1	528	811.784268	27.995382	36.86904	96.312186	157.249728	129.613852528147	0	0	0	0	0	0	0	0
9	13992	0	2113	766141.393	4333853.84	1	0	15	78.93506197	0	0.956521739	14.93900643	41.19723249	27.995382	0	0	0.966666667	15.96245595	59.55063702	41.690376	0	0	0.942028986	15.79796688	89.838288	5.34492	1	0.909090909	16.08978521	203.2939073	142.605738	13.984056	1	528	811.784268	27.995382	41.690376	95.183208	156.589794	128.357267916898	0	0	0	0	0	0	0	0
10	13993	0	2113	766138.449	4333849.022	1	0	20	82.47564677	0	1	14.27808238	36.52002759	24.46119	0	0	0.964285714	14.07251627	45.39252201	30.24243	0	0	0.967741935	15.47658199	79.688394	1.396224	1	0.908256881	15.49903223	188.9888103	131.015988	13.984056	1	528	811.784268	24.46119	30.24243	81.084618	145.000044	114.27588338785	0	0	0	0	0	0	0	0
11	13994	0	2113	766135.6485	4333846.89	1	0	15	83.69273057	0	1	13.97318861	31.82509218	21.29787	0	0	0.965517241	13.8476937	45.62229886	30.329694	0	0	0.983333333	15.32155345	76.81959	0	0	0.959183673	15.478338	178.6254984	124.13304	5.34492	1	528	811.784268	21.29787	30.329694	76.81959	129.47796	110.255708143004	0	0	0	0	0	0	0	0
12	13995	0	2113	766146.3207	4333846.643	1	0	15	86.49854175	0	1	14.99607792	30.50386496	20.850642	0	0	0.972972973	14.09715325	59.98241223	40.103262	0	0	0.867647059	15.05545305	74.1744	12.015162	1	0.803921569	15.00722717	148.6705006	101.951622	27.237276	1	528	811.784268	20.850642	40.103262	86.189562	129.188898	107.921408193001	0	0	0	0	0	0	0	0
13	13996	0	2110	766113.1054	4333845.99	1	0	4	74.58678868	0	1	9.906707684	13.12251134	7.493796	0	0	1	13.20110718	37.81805343	24.712074	0	0	1	15.12636829	71.131068	0	0	0.97826087	14.79791407	160.1701574	109.876284	0	0	528	811.784268	7.493796	24.712074	71.131068	109.876284	102.58414110325	0	0	0	0	0	0	0	0
14	13064	0	2119	766298.8729	4333855.486	1	1	10	111.8611497	0	0.696969697	9.560017751	28.67225515	16.449264	0	0	0.698113208	10.44301699	51.83124513	31.52412	0	0	0.76744186	10.67707825	53.471016	0	0	0.745901639	13.03274564	166.6347711	113.017788	0	0	528	811.784268	16.449264	31.52412	53.471016	113.017788	87.3866428055616	0	0	0	0	0	0	0	0
15	13065	0	2119	766299.8802	4333860.568	1	1	8	108.2357777	0	0.714285714	10.928338	35.79632402	22.79772	0	0	0.76	11.16601988	53.64380554	34.000236	0	0	0.738636364	11.67261753	65.39346	0	0	0.772357724	12.66805726	161.1084006	107.656506	0	0	528	811.784268	22.79772	34.000236	65.39346	107.656506	100.995501097102	0	0	0	0	0	0	0	0
17	13067	0	2119	766302.5517	4333861.804	1	1	28	108.8119207	0	0.655172414	11.4334657	31.6291588	20.676114	0	0	0.782608696	11.39698663	50.88667098	32.58765	0	0	0.763157895	11.36071254	53.498286	0	0	0.786324786	12.5687851	151.0367824	100.806282	0	0	528	811.784268	20.676114	32.58765	53.498286	100.806282	84.4610618605138	0	0	0	0	0	0	0	0
20	13070	0	2119	766303.0753	4333858.516	1	1	8	111.7671088	0	0.62962963	9.570401903	23.25665479	13.487742	0	0	0.777777778	10.65311639	45.00708926	27.853578	0	0	0.753246753	10.87711765	49.68594	0	0	0.773913043	12.76612365	152.1142699	102.218868	0	0	528	811.784268	13.487742	27.853578	49.68594	102.218868	80.2454646137936	0	0	0	0	0	0	0	0
22	13072	0	2119	766307.6322	4333856.684	1	1	8	115.9605748	0	0.583333333	9.632843125	20.76262577	12.146058	0	0	0.72972973	11.02576834	38.7437306	24.532092	0	0	0.742857143	10.67908503	43.539282	0	0	0.770833333	12.43566779	120.8414865	80.970084	0	0	528	811.784268	12.146058	24.532092	43.539282	80.970084	70.8973446211511	0	0	0	0	0	0	0	0
23	13073	0	2119	766310.7225	4333856.479	1	1	8	118.022073	0	0.571428571	9.87059124	18.77874628	11.158884	0	0	0.6875	11.32061173	34.67711035	22.366854	0	0	0.728813559	10.99229314	38.881566	0	0	0.768292683	11.23691651	89.88403185	56.470716	0	0	528	811.784268	11.158884	22.366854	38.881566	56.470716	62.430621667381	0	0	0	0	0	0	0	0
24	13074	0	2119	766311.0215	4333856.504	1	1	6	118.1888965	0	0.571428571	9.87059124	18.77874628	11.158884	0	0	0.6875	11.32061173	34.67711035	22.366854	0	0	0.736842105	11.11345005	38.39616	0	0	0.7625	11.21605991	87.19511005	54.889056	0	0	528	811.784268	11.158884	22.366854	38.39616	54.889056	61.4029145400607	0	0	0	0	0	0	0	0
25	13075	0	2119	766300.9998	4333855.367	1	1	10	113.1449809	0	0.655172414	9.760935512	25.94557659	15.069402	0	0	0.705882353	10.56353328	50.803538	31.038714	0	0	0.759493671	10.54766157	47.935206	0	0	0.745762712	12.66517981	153.7007906	103.233312	0	0	528	811.784268	15.069402	31.038714	47.935206	103.233312	79.0659468776444	0	0	0	0	0	0	0	0
26	13076	0	2119	766308.8307	4333854.049	1	1	10	118.7839367	0	0.545454545	9.793318687	19.47771772	11.50794	0	0	0.677419355	11.43283331	34.11297624	22.099608	0	0	0.725806452	10.86426519	39.912372	0	0	0.771084337	11.22980114	91.00874054	57.087018	0	0	528	811.784268	11.50794	22.099608	39.912372	57.087018	64.4673567055395	0	0	0	0	0	0	0	0
27	13077	0	2119	766304.8408	4333852.417	1	1	7	117.755934	0	0.642857143	9.888665951	25.6168409	14.933052	0	0	0.7	10.97838786	41.91873865	26.293734	0	0	0.732394366	10.49748461	42.672096	0	0	0.73	12.1445461	122.5335572	80.441046	0	0	528	811.784268	14.933052	26.293734	42.672096	80.441046	69.95616089437	0	0	0	0	0	0	0	0
29	13079	0	2114	766300.2426	4333834.799	1	1	8	130.2851448	0	0.5	10.39230485	8.436521088	4.712256	0	0	0.666666667	9.181503145	25.78499345	13.793166	0	0	0.644067797	10.70719701	36.890856	0	0	0.703296703	11.69248843	105.6287153	67.853214	0	0	528	811.784268	4.712256	13.793166	36.890856	67.853214	61.072682782693	0	0	0	0	0	0	0	0
